,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04459371566772461,0.0002833548632744093,0.002935028076171875,6.02021028334292e-05,gini,2,50,"{'criterion': 'gini', 'max_depth': 2, 'n_estimators': 50}",0.5,0.5,0.25,0.75,0.75,0.5,0.5,0.25,0.75,0.75,0.55,0.18708286933869706,31
1,0.08745546340942383,0.0004009773365456237,0.0053465843200683595,1.4307816568175577e-05,gini,2,100,"{'criterion': 'gini', 'max_depth': 2, 'n_estimators': 100}",0.75,1.0,0.0,0.5,0.75,0.75,0.5,0.5,1.0,0.5,0.625,0.2795084971874737,21
2,0.1306464672088623,0.00033996195401436475,0.007839679718017578,3.358656944811028e-05,gini,2,150,"{'criterion': 'gini', 'max_depth': 2, 'n_estimators': 150}",1.0,0.75,0.25,1.0,0.75,0.25,0.75,0.75,1.0,1.0,0.75,0.27386127875258304,2
3,0.17377915382385253,0.0006035698836113555,0.010307216644287109,4.251280720460771e-05,gini,2,200,"{'criterion': 'gini', 'max_depth': 2, 'n_estimators': 200}",1.0,0.75,0.25,0.5,0.5,0.5,0.5,0.75,1.0,1.0,0.675,0.25124689052802224,9
4,0.04498059749603271,0.0004588674119646862,0.002924013137817383,4.9192264743419806e-05,gini,3,50,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 50}",0.75,0.75,0.75,1.0,0.5,0.5,0.5,0.25,1.0,0.5,0.65,0.22912878474779197,17
5,0.08860456943511963,0.0004166638620453841,0.005357789993286133,2.4736728999931894e-05,gini,3,100,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 100}",0.75,0.75,0.5,0.75,0.5,0.5,0.25,0.75,0.75,0.75,0.625,0.16770509831248423,21
6,0.1327887535095215,0.0005920742926696242,0.007886052131652832,4.371406435803583e-05,gini,3,150,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 150}",1.0,1.0,0.25,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.675,0.225,9
7,0.17633409500122071,0.0007810133689395509,0.01038360595703125,4.5132202503029056e-05,gini,3,200,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 200}",0.75,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.65,0.12247448713915891,17
8,0.044934654235839845,0.00030768362782541855,0.002914714813232422,3.381726974426377e-05,gini,4,50,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 50}",1.0,0.75,0.5,0.75,0.5,0.75,0.5,0.25,0.75,1.0,0.675,0.225,9
9,0.0888251543045044,0.0004602273448667863,0.005400371551513672,4.323033131399267e-05,gini,4,100,"{'criterion': 'gini', 'max_depth': 4, 'n_estimators': 100}",0.75,1.0,0.5,0.5,0.75,0.5,0.5,0.75,0.75,1.0,0.7,0.18708286933869706,6
